period,new_repos,category
2012-03-31,1,SDK/API
2012-06-30,1,SDK/API
2012-09-30,0,SDK/API
2012-12-31,1,SDK/API
2013-03-31,0,SDK/API
2013-06-30,0,SDK/API
2013-09-30,3,SDK/API
2013-12-31,2,SDK/API
2014-03-31,2,SDK/API
2014-06-30,30,SDK/API
2014-09-30,70,SDK/API
2014-12-31,55,SDK/API
2015-03-31,70,SDK/API
2015-06-30,84,SDK/API
2015-09-30,58,SDK/API
2015-12-31,53,SDK/API
2016-03-31,60,SDK/API
2016-06-30,72,SDK/API
2016-09-30,53,SDK/API
2016-12-31,59,SDK/API
2017-03-31,125,SDK/API
2017-06-30,120,SDK/API
2017-09-30,151,SDK/API
2017-12-31,210,SDK/API
2018-03-31,225,SDK/API
2018-06-30,197,SDK/API
2018-09-30,321,SDK/API
2018-12-31,272,SDK/API
2019-03-31,271,SDK/API
2019-06-30,281,SDK/API
2019-09-30,264,SDK/API
2019-12-31,270,SDK/API
2020-03-31,262,SDK/API
2020-06-30,344,SDK/API
2020-09-30,305,SDK/API
2020-12-31,328,SDK/API
2021-03-31,333,SDK/API
2021-06-30,431,SDK/API
2021-09-30,320,SDK/API
2021-12-31,308,SDK/API
2022-03-31,314,SDK/API
2022-06-30,367,SDK/API
2022-09-30,309,SDK/API
2022-12-31,317,SDK/API
2023-03-31,311,SDK/API
2023-06-30,454,SDK/API
2023-09-30,382,SDK/API
2023-12-31,428,SDK/API
2024-03-31,422,SDK/API
2024-06-30,445,SDK/API
2024-09-30,402,SDK/API
2012-03-31,1,Quantum Simulation
2012-06-30,2,Quantum Simulation
2012-09-30,0,Quantum Simulation
2012-12-31,4,Quantum Simulation
2013-03-31,3,Quantum Simulation
2013-06-30,1,Quantum Simulation
2013-09-30,7,Quantum Simulation
2013-12-31,5,Quantum Simulation
2014-03-31,5,Quantum Simulation
2014-06-30,11,Quantum Simulation
2014-09-30,9,Quantum Simulation
2014-12-31,2,Quantum Simulation
2015-03-31,5,Quantum Simulation
2015-06-30,6,Quantum Simulation
2015-09-30,4,Quantum Simulation
2015-12-31,10,Quantum Simulation
2016-03-31,9,Quantum Simulation
2016-06-30,15,Quantum Simulation
2016-09-30,12,Quantum Simulation
2016-12-31,10,Quantum Simulation
2017-03-31,21,Quantum Simulation
2017-06-30,25,Quantum Simulation
2017-09-30,30,Quantum Simulation
2017-12-31,25,Quantum Simulation
2018-03-31,25,Quantum Simulation
2018-06-30,61,Quantum Simulation
2018-09-30,43,Quantum Simulation
2018-12-31,47,Quantum Simulation
2019-03-31,85,Quantum Simulation
2019-06-30,67,Quantum Simulation
2019-09-30,78,Quantum Simulation
2019-12-31,68,Quantum Simulation
2020-03-31,95,Quantum Simulation
2020-06-30,128,Quantum Simulation
2020-09-30,110,Quantum Simulation
2020-12-31,110,Quantum Simulation
2021-03-31,99,Quantum Simulation
2021-06-30,110,Quantum Simulation
2021-09-30,72,Quantum Simulation
2021-12-31,107,Quantum Simulation
2022-03-31,108,Quantum Simulation
2022-06-30,161,Quantum Simulation
2022-09-30,116,Quantum Simulation
2022-12-31,111,Quantum Simulation
2023-03-31,126,Quantum Simulation
2023-06-30,137,Quantum Simulation
2023-09-30,132,Quantum Simulation
2023-12-31,110,Quantum Simulation
2024-03-31,113,Quantum Simulation
2024-06-30,135,Quantum Simulation
2024-09-30,109,Quantum Simulation
2012-09-30,1,Algorithm Implementation
2012-12-31,0,Algorithm Implementation
2013-03-31,0,Algorithm Implementation
2013-06-30,0,Algorithm Implementation
2013-09-30,0,Algorithm Implementation
2013-12-31,1,Algorithm Implementation
2014-03-31,1,Algorithm Implementation
2014-06-30,0,Algorithm Implementation
2014-09-30,0,Algorithm Implementation
2014-12-31,1,Algorithm Implementation
2015-03-31,0,Algorithm Implementation
2015-06-30,0,Algorithm Implementation
2015-09-30,1,Algorithm Implementation
2015-12-31,3,Algorithm Implementation
2016-03-31,2,Algorithm Implementation
2016-06-30,7,Algorithm Implementation
2016-09-30,3,Algorithm Implementation
2016-12-31,4,Algorithm Implementation
2017-03-31,109,Algorithm Implementation
2017-06-30,33,Algorithm Implementation
2017-09-30,30,Algorithm Implementation
2017-12-31,29,Algorithm Implementation
2018-03-31,25,Algorithm Implementation
2018-06-30,20,Algorithm Implementation
2018-09-30,16,Algorithm Implementation
2018-12-31,22,Algorithm Implementation
2019-03-31,14,Algorithm Implementation
2019-06-30,25,Algorithm Implementation
2019-09-30,17,Algorithm Implementation
2019-12-31,14,Algorithm Implementation
2020-03-31,27,Algorithm Implementation
2020-06-30,36,Algorithm Implementation
2020-09-30,23,Algorithm Implementation
2020-12-31,24,Algorithm Implementation
2021-03-31,64,Algorithm Implementation
2021-06-30,92,Algorithm Implementation
2021-09-30,63,Algorithm Implementation
2021-12-31,60,Algorithm Implementation
2022-03-31,59,Algorithm Implementation
2022-06-30,73,Algorithm Implementation
2022-09-30,49,Algorithm Implementation
2022-12-31,64,Algorithm Implementation
2023-03-31,53,Algorithm Implementation
2023-06-30,77,Algorithm Implementation
2023-09-30,67,Algorithm Implementation
2023-12-31,65,Algorithm Implementation
2024-03-31,69,Algorithm Implementation
2024-06-30,84,Algorithm Implementation
2024-09-30,79,Algorithm Implementation
2014-06-30,1,Education/Tutorials
2014-09-30,1,Education/Tutorials
2014-12-31,2,Education/Tutorials
2015-03-31,2,Education/Tutorials
2015-06-30,2,Education/Tutorials
2015-09-30,2,Education/Tutorials
2015-12-31,3,Education/Tutorials
2016-03-31,3,Education/Tutorials
2016-06-30,15,Education/Tutorials
2016-09-30,12,Education/Tutorials
2016-12-31,6,Education/Tutorials
2017-03-31,8,Education/Tutorials
2017-06-30,7,Education/Tutorials
2017-09-30,8,Education/Tutorials
2017-12-31,6,Education/Tutorials
2018-03-31,9,Education/Tutorials
2018-06-30,11,Education/Tutorials
2018-09-30,142,Education/Tutorials
2018-12-31,65,Education/Tutorials
2019-03-31,75,Education/Tutorials
2019-06-30,45,Education/Tutorials
2019-09-30,83,Education/Tutorials
2019-12-31,108,Education/Tutorials
2020-03-31,131,Education/Tutorials
2020-06-30,181,Education/Tutorials
2020-09-30,179,Education/Tutorials
2020-12-31,143,Education/Tutorials
2021-03-31,132,Education/Tutorials
2021-06-30,136,Education/Tutorials
2021-09-30,189,Education/Tutorials
2021-12-31,92,Education/Tutorials
2022-03-31,135,Education/Tutorials
2022-06-30,142,Education/Tutorials
2022-09-30,128,Education/Tutorials
2022-12-31,118,Education/Tutorials
2023-03-31,136,Education/Tutorials
2023-06-30,120,Education/Tutorials
2023-09-30,70,Education/Tutorials
2023-12-31,67,Education/Tutorials
2024-03-31,107,Education/Tutorials
2024-06-30,82,Education/Tutorials
2024-09-30,76,Education/Tutorials
2015-03-31,1,Circuit Optimization
2015-06-30,0,Circuit Optimization
2015-09-30,0,Circuit Optimization
2015-12-31,0,Circuit Optimization
2016-03-31,0,Circuit Optimization
2016-06-30,2,Circuit Optimization
2016-09-30,0,Circuit Optimization
2016-12-31,3,Circuit Optimization
2017-03-31,4,Circuit Optimization
2017-06-30,2,Circuit Optimization
2017-09-30,2,Circuit Optimization
2017-12-31,1,Circuit Optimization
2018-03-31,1,Circuit Optimization
2018-06-30,4,Circuit Optimization
2018-09-30,7,Circuit Optimization
2018-12-31,4,Circuit Optimization
2019-03-31,6,Circuit Optimization
2019-06-30,3,Circuit Optimization
2019-09-30,2,Circuit Optimization
2019-12-31,4,Circuit Optimization
2020-03-31,4,Circuit Optimization
2020-06-30,5,Circuit Optimization
2020-09-30,7,Circuit Optimization
2020-12-31,6,Circuit Optimization
2021-03-31,15,Circuit Optimization
2021-06-30,15,Circuit Optimization
2021-09-30,22,Circuit Optimization
2021-12-31,14,Circuit Optimization
2022-03-31,18,Circuit Optimization
2022-06-30,12,Circuit Optimization
2022-09-30,9,Circuit Optimization
2022-12-31,18,Circuit Optimization
2023-03-31,18,Circuit Optimization
2023-06-30,36,Circuit Optimization
2023-09-30,20,Circuit Optimization
2023-12-31,23,Circuit Optimization
2024-03-31,17,Circuit Optimization
2024-06-30,25,Circuit Optimization
2024-09-30,22,Circuit Optimization
2016-03-31,2,Compiler/Transpiler
2016-06-30,1,Compiler/Transpiler
2016-09-30,3,Compiler/Transpiler
2016-12-31,2,Compiler/Transpiler
2017-03-31,3,Compiler/Transpiler
2017-06-30,3,Compiler/Transpiler
2017-09-30,3,Compiler/Transpiler
2017-12-31,6,Compiler/Transpiler
2018-03-31,4,Compiler/Transpiler
2018-06-30,5,Compiler/Transpiler
2018-09-30,5,Compiler/Transpiler
2018-12-31,5,Compiler/Transpiler
2019-03-31,16,Compiler/Transpiler
2019-06-30,24,Compiler/Transpiler
2019-09-30,12,Compiler/Transpiler
2019-12-31,9,Compiler/Transpiler
2020-03-31,15,Compiler/Transpiler
2020-06-30,35,Compiler/Transpiler
2020-09-30,25,Compiler/Transpiler
2020-12-31,17,Compiler/Transpiler
2021-03-31,15,Compiler/Transpiler
2021-06-30,9,Compiler/Transpiler
2021-09-30,12,Compiler/Transpiler
2021-12-31,22,Compiler/Transpiler
2022-03-31,24,Compiler/Transpiler
2022-06-30,11,Compiler/Transpiler
2022-09-30,11,Compiler/Transpiler
2022-12-31,13,Compiler/Transpiler
2023-03-31,17,Compiler/Transpiler
2023-06-30,22,Compiler/Transpiler
2023-09-30,31,Compiler/Transpiler
2023-12-31,38,Compiler/Transpiler
2024-03-31,29,Compiler/Transpiler
2024-06-30,51,Compiler/Transpiler
2024-09-30,32,Compiler/Transpiler
2017-06-30,5,Quantum Chemistry
2017-09-30,16,Quantum Chemistry
2017-12-31,74,Quantum Chemistry
2018-03-31,24,Quantum Chemistry
2018-06-30,27,Quantum Chemistry
2018-09-30,25,Quantum Chemistry
2018-12-31,25,Quantum Chemistry
2019-03-31,20,Quantum Chemistry
2019-06-30,16,Quantum Chemistry
2019-09-30,24,Quantum Chemistry
2019-12-31,15,Quantum Chemistry
2020-03-31,26,Quantum Chemistry
2020-06-30,38,Quantum Chemistry
2020-09-30,46,Quantum Chemistry
2020-12-31,45,Quantum Chemistry
2021-03-31,36,Quantum Chemistry
2021-06-30,33,Quantum Chemistry
2021-09-30,24,Quantum Chemistry
2021-12-31,24,Quantum Chemistry
2022-03-31,25,Quantum Chemistry
2022-06-30,31,Quantum Chemistry
2022-09-30,18,Quantum Chemistry
2022-12-31,27,Quantum Chemistry
2023-03-31,26,Quantum Chemistry
2023-06-30,35,Quantum Chemistry
2023-09-30,29,Quantum Chemistry
2023-12-31,26,Quantum Chemistry
2024-03-31,35,Quantum Chemistry
2024-06-30,29,Quantum Chemistry
2024-09-30,34,Quantum Chemistry
2018-06-30,3,Quantum Machine Learning
2018-09-30,4,Quantum Machine Learning
2018-12-31,2,Quantum Machine Learning
2019-03-31,0,Quantum Machine Learning
2019-06-30,1,Quantum Machine Learning
2019-09-30,3,Quantum Machine Learning
2019-12-31,3,Quantum Machine Learning
2020-03-31,100,Quantum Machine Learning
2020-06-30,67,Quantum Machine Learning
2020-09-30,39,Quantum Machine Learning
2020-12-31,39,Quantum Machine Learning
2021-03-31,55,Quantum Machine Learning
2021-06-30,37,Quantum Machine Learning
2021-09-30,44,Quantum Machine Learning
2021-12-31,52,Quantum Machine Learning
2022-03-31,53,Quantum Machine Learning
2022-06-30,68,Quantum Machine Learning
2022-09-30,57,Quantum Machine Learning
2022-12-31,72,Quantum Machine Learning
2023-03-31,64,Quantum Machine Learning
2023-06-30,78,Quantum Machine Learning
2023-09-30,59,Quantum Machine Learning
2023-12-31,44,Quantum Machine Learning
2024-03-31,53,Quantum Machine Learning
2024-06-30,62,Quantum Machine Learning
2024-09-30,40,Quantum Machine Learning
2018-12-31,1,Benchmarking Tools
2019-03-31,1,Benchmarking Tools
2019-06-30,1,Benchmarking Tools
2019-09-30,0,Benchmarking Tools
2019-12-31,1,Benchmarking Tools
2020-03-31,1,Benchmarking Tools
2020-06-30,6,Benchmarking Tools
2020-09-30,1,Benchmarking Tools
2020-12-31,2,Benchmarking Tools
2021-03-31,4,Benchmarking Tools
2021-06-30,5,Benchmarking Tools
2021-09-30,2,Benchmarking Tools
2021-12-31,2,Benchmarking Tools
2022-03-31,6,Benchmarking Tools
2022-06-30,13,Benchmarking Tools
2022-09-30,4,Benchmarking Tools
2022-12-31,1,Benchmarking Tools
